structure_index,natoms,asr_drift_norm,is_valid_asr
755,20,5.656854309318572e-08,True
756,8,1.7320509508794036e-08,True
757,20,6.000000013495238e-08,True
758,12,2.8284271389583888e-08,True
759,16,8.837263695108517e-15,True
760,14,2.8284266679306255e-08,True
761,12,5.291502743133303e-08,True
762,14,8.24621125497294e-08,True
763,17,1.4142135655539496e-08,True
764,10,2.8284271075565355e-08,True
765,12,2.8284272017620748e-08,True
766,12,2.8284272331639085e-08,True
767,12,1.999999987845068e-08,True
768,16,3.4968730166494453e-15,True
769,8,2.000000076662904e-08,True
770,14,2.8284272959676088e-08,True
771,8,2.2360680017688005e-08,True
772,20,2.8284274215750447e-08,True
773,16,3.464101876119306e-08,True
774,16,5.656854215113024e-08,True
775,20,5.656854136608396e-08,True
776,14,3.464102363269852e-08,True
777,24,1.4862948768973367e-14,True
778,12,2.8284271801732835e-08,True
779,20,5.291502420022174e-08,True
780,12,3.999999997894585e-08,True
781,19,3.60555113346239e-08,True
782,16,7.6926519382603e-15,True
783,15,4.69041611662135e-08,True
784,16,3.999999798054445e-08,True
785,8,2.0000000536019205e-08,True
786,20,5.6568538382908424e-08,True
787,12,1.6910413304902302e-15,True
788,14,3.4641017927909434e-08,True
789,14,1.999999996171788e-08,True
790,14,6.153480596427404e-15,True
791,20,5.6568540424028784e-08,True
792,12,4.000000042303509e-08,True
793,18,2.8284271242388034e-08,True
794,16,5.291502642423339e-08,True
795,12,3.999999886872296e-08,True
796,18,6.633249285991342e-08,True
797,12,4.472136007261402e-08,True
798,16,4.000000242143645e-08,True
799,12,1.2563805882055718e-15,True
800,18,4.8989791113254956e-08,True
801,14,3.4641015940847776e-08,True
802,14,3.4641015940847776e-08,True
803,12,6.928202880495526e-08,True
804,16,3.999999848014497e-08,True
805,12,2.4850154473731614e-15,True
806,12,4.000000097814652e-08,True
807,20,6.928203048754784e-08,True
808,13,3.872983208006149e-08,True
809,14,6.928203495843585e-08,True
810,16,3.9999998424633604e-08,True
811,20,3.999999598214431e-08,True
812,12,4.2305179100438405e-15,True
813,18,4.898978930026847e-08,True
814,12,3.464101671003285e-08,True
815,14,3.4641017479217924e-08,True
816,18,2.8284271389585956e-08,True
817,14,2.8284272331639082e-08,True
818,12,5.197930934883577e-15,True
819,14,6.928202418984481e-08,True
820,12,2.8284272017620553e-08,True
821,18,6.324555046673649e-08,True
822,12,1.9999999434361453e-08,True
823,18,3.000000026176509e-08,True
824,6,1.7320507970423888e-08,True
825,5,2.4494897403607582e-08,True
826,16,4.000000597415052e-08,True
827,20,5.656854215113063e-08,True
828,14,5.6568544427764326e-08,True
829,12,3.999999975690117e-08,True
830,12,2.8284269662481892e-08,True
831,10,2.8284268563417143e-08,True
832,24,4.468561475845092e-15,True
833,11,1.4142137421893635e-08,True
834,20,5.291503101912581e-08,True
835,11,4.242640799070514e-08,True
836,14,2.8284272743788397e-08,True
837,8,2.0000000607901832e-08,True
838,14,3.4641012864107487e-08,True
839,14,3.464101594084785e-08,True
840,20,6.928203317969543e-08,True
841,18,3.464101671003424e-08,True
842,20,3.464101235131754e-08,True
843,14,4.8989795555072286e-08,True
844,16,5.656854152309332e-08,True
845,12,2.4494897601903057e-08,True
846,18,2.8284269976500385e-08,True
847,5,7.691850745534255e-16,True
848,14,6.000000111564927e-08,True
849,14,1.9999997658004866e-08,True
850,14,4.440892098500626e-15,True
851,14,4.472135828518942e-08,True
852,5,1.9859680258536323e-05,True
853,12,4.472135868239502e-08,True
854,12,2.196025632989205e-15,True
855,14,3.3166248143431894e-08,True
856,14,3.4641015099551683e-08,True
857,14,2.8284270476967337e-08,True
858,14,5.2915026129479285e-08,True
859,20,2.449489804948508e-08,True
860,12,2.9999999373586674e-08,True
861,18,4.898979383273499e-08,True
862,10,3.46410169664279e-08,True
863,8,2.8284271703602047e-08,True
864,12,3.464101499539117e-08,True
865,20,5.999999861764736e-08,True
866,14,3.4641017799711745e-08,True
867,20,5.656853838290845e-08,True
868,24,4.898980108468145e-08,True
869,16,3.2023728339893768e-15,True
870,12,2.8284271625097435e-08,True
871,12,3.999999784176651e-08,True
872,16,3.9999996648276944e-08,True
873,20,3.464101465887348e-08,True
874,20,5.656854466327818e-08,True
