weight_index,weight_value
560,-0.013296183
561,-0.20907857
562,-0.048468154
563,0.03897031
564,0.04362898
565,0.04818076
566,0.05175092
567,0.017771073
568,0.034126062
569,0.009455433
570,0.072850816
571,0.09767705
572,-0.1557693
573,-0.08816362
574,-0.004793
575,0.0353562
576,0.030728085
577,0.02284272
578,-0.028497742
579,0.28884602
580,-0.020493822
581,0.0584318
582,0.033880755
583,0.057093017
584,-0.0138686905
585,0.17998895
586,-0.011561807
587,-0.03681897
588,-0.018888535
589,0.0335004
590,-0.043765895
591,0.053565532
592,-0.02739805
593,0.0050774384
594,-0.02035784
595,0.060427267
596,0.045702953
597,-0.0019020688
598,-0.034019735
599,-0.04549201
600,-0.019162977
601,-0.007365744
602,-0.006535791
603,-0.0044677933
604,-0.001317628
605,0.038436882
606,0.0071426164
607,-0.02448844
608,-0.04417326
609,-0.009309832
610,-0.029053695
611,0.011834037
612,-0.04560941
613,-0.015623698
614,-0.048473414
615,0.026890583
616,-0.033802517
617,-0.007833997
618,-0.0021004078
619,-0.04442353
620,-0.00343859
621,0.105441704
622,0.00042688378
623,0.017192222
624,-0.037364364
625,-0.020093111
626,-0.10656049
627,-0.011614628
628,0.10655254
629,-0.007876308
630,-0.025742797
631,-0.04289116
632,0.025847934
633,0.0066641336
634,0.0027727683
635,0.02226342
636,0.024395447
637,-0.062344275
638,-0.0022938668
639,0.0057041696
640,-0.018350014
641,-0.017195469
642,-1.0316954
643,-0.8774629
644,-0.05683535
645,-0.51499194
646,-0.046553697
647,-0.43486682
648,0.154792
649,0.07015057
650,0.07007938
651,-0.554837
652,0.004801324
653,0.04470289
654,0.036371436
655,-0.005204285
656,-0.10383336
657,0.23357728
658,0.004326866
659,0.081354186
660,-0.52499676
661,-0.11624716
662,-0.43333215
663,-0.061922394
664,-0.0981003
665,-0.25997317
666,-0.039840985
667,0.06321353
668,-0.37167722
669,-0.024577433
670,-0.062859625
671,-0.38019
672,-0.029167984
673,-0.15665218
674,0.008049789
675,-0.033575546
676,0.30688456
677,0.1823336
678,0.055736046
679,-0.23614243
680,0.11725366
681,-0.0031943957
682,-0.15558508
683,-0.04813258
684,-0.0810134
685,0.5115247
686,0.03231405
687,0.09607692
688,0.23421781
689,-0.6037156
690,-0.19866697
691,0.029356774
692,0.4854324
693,0.035793096
694,0.1307934
695,-0.1384025
696,0.5557472
697,-0.01972848
698,0.041880894
699,0.011035841
700,0.23585798
701,0.054327074
702,0.16184705
703,0.029110681
704,-0.032923996
705,-0.051863167
706,-0.048904963
707,-0.28211352
708,0.09607308
709,0.026344996
710,-0.11411967
711,-0.03164741
712,0.10358993
713,-0.14914069
714,0.05365903
715,-0.035137687
716,-0.06329745
717,-0.07316313
718,-0.10497515
719,0.0066473195
720,-0.051959597
721,-0.011343235
722,-0.008931085
723,0.013718878
724,-0.04389098
725,0.030810667
726,0.06591994
727,-0.066175885
728,-0.015029107
729,0.0031208347
730,0.22331837
731,0.018912159
732,-0.06700989
733,0.06931385
734,-0.02647601
735,0.031630415
736,-0.14921324
737,0.05910844
738,0.030451134
739,0.014291447
740,-0.07042904
741,0.074821524
742,0.02599131
743,-0.044604447
744,0.042557955
745,-0.018165354
746,0.006376087
747,-0.005476563
748,0.021430578
749,0.054240312
750,-0.015904866
751,0.09488668
752,-0.036910508
753,-0.12588859
754,-0.059516497
755,-0.004718794
756,0.051228557
757,0.03159654
758,0.026406512
759,-0.020514438
760,0.080723695
761,-0.0062469216
762,-0.006694699
763,0.13071775
764,-0.14400558
765,-0.10419736
766,-0.032481235
767,0.03683621
768,0.117715254
769,0.003618543
770,-0.15197872
771,-0.01953246
772,-0.0315807
773,0.58561915
