weight_index,weight_value
1181,-0.13402072
1182,-0.21757644
1183,-0.04033672
1184,0.030438319
1185,-0.0021253552
1186,0.08627539
1187,-0.1872092
1188,-0.014528746
1189,0.024879368
1190,-0.057641916
1191,-0.13268381
1192,0.035159517
1193,0.36430293
1194,-0.06361616
1195,-0.02328227
1196,0.012213022
1197,0.10578056
1198,-0.35218817
1199,0.09827773
1200,0.07522505
1201,0.0011117905
1202,0.017811183
1203,-0.068982124
1204,-0.051725127
1205,0.16691956
1206,0.3500996
1207,0.05574404
1208,-0.14112958
1209,0.089733005
1210,0.05529905
1211,-0.08606984
1212,0.09584365
1213,0.019258523
1214,-0.18541932
1215,-0.16433798
1216,-0.00350648
1217,0.28469765
1218,0.14211991
1219,-0.043765206
1220,-0.36296088
1221,-0.050235417
1222,0.05230445
1223,0.0011850891
1224,0.13868317
1225,-0.045992233
1226,-0.038848426
1227,0.06950877
1228,0.047770526
1229,0.0042393357
1230,-0.1275283
1231,-0.007491538
1232,-0.064813174
1233,0.16347227
1234,0.14009114
1235,0.048170883
1236,0.020762881
1237,-0.35970208
1238,-0.04213961
1239,0.0451939
1240,-0.12903854
1241,0.03892711
1242,0.35714608
1243,-0.0050259405
1244,-0.038482353
1245,-0.1327709
1246,-0.2172293
1247,0.0061765783
1248,0.012004959
1249,0.001768137
1250,0.08315227
1251,-0.17776659
1252,0.017528871
1253,0.03021796
1254,-0.07284737
1255,-0.13799791
1256,0.010072628
1257,0.36495444
1258,-0.06933825
1259,-0.026350845
1260,-0.00032024487
1261,0.07073512
1262,-0.3524601
1263,0.078457355
1264,0.08593501
1265,-0.14334476
1266,-0.008157751
1267,-0.058894496
1268,-0.017022515
1269,0.17714128
1270,0.3504267
1271,0.054344334
1272,-0.093160726
1273,0.07686477
1274,0.041672356
1275,-0.07673196
1276,0.06890802
1277,0.062867045
1278,-0.20184062
1279,-0.17549932
1280,0.0025884195
1281,0.28240895
1282,0.13439243
1283,-0.073730946
1284,-0.36312395
1285,-0.053076018
1286,0.039979443
1287,0.07433108
1288,0.07147144
1289,-0.04570671
1290,-0.045921497
1291,0.13324617
1292,0.020335132
1293,0.04778295
1294,-0.119067274
1295,-0.09290787
1296,-0.026602365
1297,0.15617609
1298,0.1284534
1299,0.03636787
1300,0.0319156
1301,-0.36025387
1302,0.009021147
1303,-0.023842784
1304,-0.083502226
1305,0.05541969
1306,0.35290778
1307,0.041895475
1308,-0.07561436
1309,-0.1113434
1310,-0.21148495
1311,-0.12368177
1312,-0.031163583
1313,-0.03451666
1314,0.09525728
1315,-0.14157026
1316,-0.029741373
1317,-0.005306497
1318,-0.01859167
1319,-0.13689533
1320,0.04335253
1321,0.36506906
1322,-0.038688764
1323,-0.029203998
1324,-0.0076625603
1325,0.08274327
1326,-0.35209796
1327,0.1420358
1328,0.07202313
1329,0.21223885
1330,0.034779776
1331,-0.0778522
1332,-0.083288535
1333,0.15426017
1334,0.3505952
1335,0.05037227
1336,-0.19817548
1337,0.13786767
1338,0.07181852
1339,-0.029589014
1340,0.1805815
1341,0.025307037
1342,-0.16569738
1343,-0.14169244
1344,-0.00014110265
1345,-1.2060806e-05
1346,4.2955722e-05
1347,-0.00016670075
1348,-0.00013737485
1349,0.00019608624
1350,-0.00027526947
1351,-3.3319797e-05
1352,0.00013942762
1353,2.6661552e-05
1354,-0.00042775314
1355,-0.00018493271
1356,-0.0003919108
