Index,Material_ID,Formula,Atoms,Elements,Max_Diag_BEC_e
290,aaaehchv,LaN,4,"La, N",3.546
291,aaaehcix,RbCaCl3,5,"Ca, Cl, Rb",2.415
292,aaaehckd,Li2CuSb,4,"Cu, Li, Sb",2.937
293,aaaehckn,Na2BrCl,4,"Br, Cl, Na",1.17
294,aaaehckr,BaSnO3,5,"Ba, O, Sn",4.382
295,aaaehcmd,CsPbBr3,5,"Br, Cs, Pb",4.322
296,aaaehcnl,NaSmS2,4,"Na, S, Sm",4.505
297,aaaehcnm,Ca2AsAu,4,"As, Au, Ca",5.612
298,aaaehcob,GaCuO2,4,"Cu, Ga, O",3.394
299,aaaehcpk,NaLuO2,4,"Lu, Na, O",4.055
300,aaaehcpm,Rb3BrO,5,"Br, O, Rb",2.417
301,aaaehcqo,HCl,4,"Cl, H",1.131
302,aaaehcrk,CuI,4,"Cu, I",0.997
303,aaaehcrl,CaZrN2,4,"Ca, N, Zr",6.773
304,aaaehcrm,TmCuSe2,4,"Cu, Se, Tm",4.411
305,aaaehcrv,ZnS,4,"S, Zn",2.008
306,aaaehcsl,Nd2TeS2,5,"Nd, S, Te",4.194
307,aaaehctc,PrTlTe2,4,"Pr, Te, Tl",4.521
308,aaaehctg,LiHoS2,4,"Ho, Li, S",4.301
309,aaaehctz,BN,4,"B, N",2.711
310,aaaehcwc,LiI,4,"I, Li",1.043
311,aaaehcww,Ho2SO2,5,"Ho, O, S",3.857
312,aaaehcxi,Cs3Sb,4,"Cs, Sb",3.216
313,aaaehcxl,Sr2BiAu,4,"Au, Bi, Sr",4.555
314,aaaehcxm,Ba2NF,4,"Ba, F, N",4.083
315,aaaehcyx,Sr2HN,4,"H, N, Sr",3.635
316,aaaehdaa,NaTbSe2,4,"Na, Se, Tb",4.474
317,aaaehdbt,RbTbSe2,4,"Rb, Se, Tb",4.488
318,aaaehdcb,NaHoS2,4,"Ho, Na, S",4.337
319,aaaehdeq,KRbCl2,4,"Cl, K, Rb",1.174
320,aaaehdlp,Li2TlSb,4,"Li, Sb, Tl",6.517
321,aaaehdly,LiAcTe2,4,"Ac, Li, Te",4.658
322,aaaehdmf,Li3BrO,5,"Br, Li, O",2.175
323,aaaehdmu,LiDySe2,4,"Dy, Li, Se",4.394
324,aaaehdnq,CsBr2F,4,"Br, Cs, F",5.228
325,aaaehdnu,Ca(ZnN)2,5,"Ca, N, Zn",3.199
326,aaaehdok,MgTe,4,"Mg, Te",1.971
327,aaaehdpn,RbHoSe2,4,"Ho, Rb, Se",4.421
328,aaaehdpq,CuBr,4,"Br, Cu",1.08
329,aaaehdqu,NaInS2,4,"In, Na, S",3.948
330,aaaehdrj,TbTlS2,4,"S, Tb, Tl",4.309
331,aaaehdrs,KDyS2,4,"Dy, K, S",4.384
332,aaaehdvm,GaAs,4,"As, Ga",2.164
333,aaaehdws,LuAgO2,4,"Ag, Lu, O",4.156
334,aaaehdxr,Nd2SeO2,5,"Nd, O, Se",4.168
335,aaaehebr,CaMg2N2,5,"Ca, Mg, N",2.966
336,aaaeheev,ZnCdSe2,4,"Cd, Se, Zn",2.396
337,aaaeheiy,ZnSnP2,4,"P, Sn, Zn",2.633
338,aaaehejl,SiC,4,"C, Si",2.866
339,aaaehejr,Er2SeO2,5,"Er, O, Se",4.063
340,aaaeheke,Ba2BiAu,4,"Au, Ba, Bi",4.529
341,aaaeheko,AlGaAs2,4,"Al, As, Ga",2.242
342,aaaehekz,NaInO2,4,"In, Na, O",3.412
343,aaaeheqq,HfZnN2,4,"Hf, N, Zn",6.128
344,aaaehett,Pr2SeO2,5,"O, Pr, Se",4.178
345,aaaehetw,Ca3SbP,5,"Ca, P, Sb",4.047
346,aaaeheuj,Ca(BeAs)2,5,"As, Be, Ca",3.422
347,aaaehevl,HgBr,4,"Br, Hg",2.542
348,aaaehevo,RbErO2,4,"Er, O, Rb",4.181
349,aaaehewm,Ca3SbN,5,"Ca, N, Sb",4.196
350,aaaehewn,TiFe2Si,4,"Fe, Si, Ti",6.09
351,aaaehewq,Kr,4,Kr,0.0
352,aaaehewt,AlInSb2,4,"Al, In, Sb",2.302
353,aaaeheww,NaLi2Sb,4,"Li, Na, Sb",2.847
354,aaaehezz,TlBrO3,5,"Br, O, Tl",3.711
355,aaaehfak,KNbO3,5,"K, Nb, O",9.174
356,aaaehffj,AlGaN2,4,"Al, Ga, N",2.678
357,aaaehfip,K3IO,5,"I, K, O",2.292
358,aaaehfje,CsPbF3,5,"Cs, F, Pb",3.284
359,aaaehfkw,RbNa2Sb,4,"Na, Rb, Sb",3.186
360,aaaehflb,AlSb,4,"Al, Sb",1.895
361,aaaehflr,Hf2SN2,5,"Hf, N, S",5.09
362,aaaehfls,AlAs,4,"Al, As",2.252
363,aaaehflw,AlP,4,"Al, P",2.348
364,aaaehfnu,CaHfN2,4,"Ca, Hf, N",6.408
365,aaaehfoc,Mg3AsN,5,"As, Mg, N",3.559
366,aaaehfok,HfS2,3,"Hf, S",6.802
367,aaaehfvp,RbBrO3,5,"Br, O, Rb",3.212
368,aaaehfvw,K3AuO,5,"Au, K, O",2.515
369,aaaehfyr,RbSmSe2,4,"Rb, Se, Sm",4.593
370,aaaehfza,LiErS2,4,"Er, Li, S",4.268
371,aaaehfzq,CsRbAu2,4,"Au, Cs, Rb",1.263
372,aaaehgad,RbBiS2,4,"Bi, Rb, S",6.098
373,aaaehgbg,LiF,4,"F, Li",0.994
374,aaaehgdq,LiScS2,4,"Li, S, Sc",4.432
375,aaaehgei,BP,4,"B, P",0.566
376,aaaehggr,K2BrCl,4,"Br, Cl, K",1.171
377,aaaehgii,AgI,4,"Ag, I",1.206
378,aaaehgji,Rb2O2,4,"O, Rb",1.237
379,aaaehgju,MgS,4,"Mg, S",1.948
380,aaaehglu,K2PdO2,5,"K, O, Pd",3.796
381,aaaehgmv,Li2TlBi,4,"Bi, Li, Tl",7.129
382,aaaehgpv,CaPbSe2,4,"Ca, Pb, Se",4.839
383,aaaehgqc,KHoS2,4,"Ho, K, S",4.351
384,aaaehgql,CaCdO2,4,"Ca, Cd, O",2.618
385,aaaehgqx,ScCuS2,4,"Cu, S, Sc",4.628
386,aaaehgsk,RbPrO2,4,"O, Pr, Rb",4.503
387,aaaehgso,Pr2SO2,5,"O, Pr, S",3.977
388,aaaehgsx,CsHF2,4,"Cs, F, H",2.29
389,aaaehgtq,Ho2SeO2,5,"Ho, O, Se",4.078
