Equivar_Z11,DFPT_Z11,Equivar_Z22,DFPT_Z22,Equivar_Z33,DFPT_Z33
-1.5520185232162476,-1.570786714553833,-4.097787857055664,-4.086455345153809,-2.8472096920013428,-2.8441991806030273
-1.5520185232162476,-1.570786714553833,-4.097787857055664,-4.086455345153809,-2.8472096920013428,-2.8441991806030273
-2.39735746383667,-2.3882808685302734,-4.164614677429199,-4.160759449005127,-1.8877086639404297,-1.9024733304977417
-3.267880916595459,-3.2658278942108154,-2.371419668197632,-2.3937368392944336,-3.098742961883545,-3.10282301902771
-3.267880916595459,-3.2658278942108154,-2.371419668197632,-2.3937368392944336,-3.098742961883545,-3.10282301902771
-3.2326138019561768,-3.2304389476776123,-1.9757604598999023,-1.979914903640747,-3.117168664932251,-3.127115249633789
-3.267880916595459,-3.2658278942108154,-2.371419906616211,-2.3937368392944336,-3.098742961883545,-3.10282301902771
-3.2326133251190186,-3.2304389476776123,-1.9757602214813232,-1.979914903640747,-3.1171681880950928,-3.127115249633789
-3.2326138019561768,-3.2304389476776123,-1.9757604598999023,-1.979914903640747,-3.117168664932251,-3.127115249633789
-3.267880916595459,-3.2658278942108154,-2.371419668197632,-2.3937368392944336,-3.098742961883545,-3.10282301902771
3.2317612171173096,3.2541415691375732,3.397682905197144,3.4093689918518066,3.443119764328003,3.4651682376861572
3.2317609786987305,3.2541415691375732,3.3976826667785645,3.4093689918518066,3.443119525909424,3.4651682376861572
4.960200309753418,4.971170425415039,5.565446853637695,5.571930885314941,5.984611511230469,5.990194797515869
6.089990139007568,6.070729732513428,5.620380401611328,5.6196393966674805,4.989902973175049,5.009613513946533
4.960200309753418,4.971170425415039,5.565446853637695,5.571930885314941,5.984611511230469,5.990194797515869
6.089990139007568,6.070729732513428,5.620380401611328,5.6196393966674805,4.989902973175049,5.009613513946533
2.6233229637146,2.5890684127807617,2.1304614543914795,2.15092134475708,2.667398452758789,2.6624457836151123
2.520406007766724,2.533371686935425,2.599806070327759,2.6234145164489746,2.62406849861145,2.6145260334014893
-1.8692865371704104,-1.8690681457519531,-4.391698837280273,-4.38557767868042,-1.96444034576416,-1.9753955602645874
-3.1556570529937744,-3.1425461769104004,-1.8889826536178589,-1.9032118320465088,-3.115799188613892,-3.114262342453003
-1.660352349281311,-1.6946791410446167,-4.467319965362549,-4.467354774475098,-2.101404190063477,-2.0686752796173096
-1.6679247617721558,-1.6620821952819824,-3.8210060596466064,-3.796914577484131,-2.773744821548462,-2.7859902381896973
-2.3034768104553223,-2.302152156829834,-3.899273157119751,-3.8885016441345215,-1.954572319984436,-1.9583238363265991
-3.1765553951263428,-3.182539463043213,-2.164280891418457,-2.1689951419830322,-3.04941725730896,-3.0498428344726562
-3.1765553951263428,-3.182539463043213,-2.164280891418457,-2.1689951419830322,-3.04941725730896,-3.0498428344726562
